id,state,state_short,senator,official_twitter,staff_twitter,other_twitter,facebook
1,Alabama,AL,Richard Shelby,,@SenShelby,,RichardShelby
2,Alabama,AL,Jeff Sessions,,@SenatorSessions,@jeffsessions ,SessionsforSenate
3,Alaska,AK,Lisa Murkowski,@lisamurkowski,,@Lisa4Senate,SenLisaMurkowski
4,Alaska,AK,Dan Sullivan,,,@DanSullivan2014,DanSullivanforAlaska
5,Arizona,AZ,John McCain,@SenJohnMcCain,,@TeamMcCain,johnmccain
6,Arizona,AZ,Jeff Flake,@JeffFlake,,@FlakeforSenate,
7,Arkansas,AR,Tom Cotton,@RepTomCotton,,@TomCottonAR,
8,Arkansas,AR,John Boozman,@JohnBoozman,,@Boozman4AR,
9,California,CA,Dianne Feinstein,@SenFeinstein,,@DianneFeinstein,
10,California,CA,Kamala Harris,,,@KamalaHarris,KamalaHarris
11,Colorado,CO,Michael Bennet,@SenBennetCO,,@BennetForCO,
12,Colorado,CO,Cory Gardner,@repcorygardner,,@CoryGardner,
13,Connecticut,CT,Christopher Murphy,@ChrisMurphyCT,,,
14,Connecticut,CT,Richard Blumenthal,,@SenBlumenthal,@DickBlumenthal,
15,Delaware,DE,Tom Carper,@SenatorCarper,@SenCarper_Press,@TomCarperforDE,
16,Delaware,DE,Chris Coons,@ChrisCoons,@SenCoonsOffice,@coons4delaware,
17,Florida,FL,Bill Nelson,@SenBillNelson,,@NelsonForSenate,
18,Florida,FL,Marco Rubio,@marcorubio,@SenRubioPress,,
19,Georgia,GA,Saxby Chambliss,@SaxbyChambliss,,,
20,Georgia,GA,David Perdue,,,@Perduesenate,
21,Georgia,GA,Johnny Isakson,,@SenatorIsakson,@JohnnyIsakson,
22,Hawaii,HI,Brian Schatz,@brianschatz,@SenBrianSchatz,@SchatzforHawaii,
23,Hawaii,HI,Mazie K. Hirono,@maziehirono,,@mazieforhawaii,
24,Idaho,ID,Mike Crapo,@MikeCrapo,,@crapo4senate,
25,Idaho,ID,Jim Risch,@SenatorRisch,,@JimRisch,
26,Illinois,IL,Tammy Duckworth,,@TammyforIL,TammyForIllinois,
27,Illinois,IL,Dick Durbin,@SenatorDurbin,,@DickDurbin,
28,Indiana,IN,Joe Donnelly,,@SenDonnelly,,
29,Indiana,IN,Todd Young,@RepToddYoung,,@ToddYoungIN,ToddYoungIndiana
30,Iowa,IA,Chuck Grassley,@ChuckGrassley,@GrassleyOffice,@GrassleyWorks,
31,Iowa,IA,Joni Ernst,@joniernst,,,
32,Kansas,KS,Pat Roberts,@SenPatRoberts,,@PatRoberts2014,
33,Kansas,KS,Jerry Moran,@JerryMoran,,@moranforkansas,
34,Kentucky,KY,Mitch McConnell,@SenateMajLdr,@McConnellPress,@Team_Mitch,
35,Kentucky,KY,Rand Paul,@SenRandPaul,,@Team_Rand,
36,Louisiana,LA,Bill Cassidy,@BillCassidy,,,
37,Louisiana,LA,John Neely Kennedy,,,@JohnKennedyLA,
38,Maine,ME,Angus King,@SenAngusKing,,@AngusKing2018,
39,Maine,ME,Susan Collins,,@SenatorCollins,@collins4senator,
40,Maryland,MD,Chris Van Hollen,@ChrisVanHollen,,@VanHollenForMD,VanHollenForMD
41,Maryland,MD,Ben Cardin,,@SenatorCardin,@BenCardinforMD,
42,Massachusetts,MA,Ed Markey,@senmarkey,,@EdMarkey,
43,Massachusetts,MA,Elizabeth Warren,@SenWarren,,@elizabethforma,
44,Michigan,MI,Gary Peters,@RepGaryPeters,,@Peters4Michigan,
45,Michigan,MI,Debbie Stabenow,@SenStabenow,@stabenow,@TeamStabenow,
46,Minnesota,MN,Amy Klobuchar,@amyklobuchar,,,
47,Minnesota,MN,Al Franken,,,@alfranken,
48,Mississippi,MS,Thad Cochran,@SenThadCochran,,,
49,Mississippi,MS,Roger Wicker,@SenatorWicker,,@RogerWicker,
50,Missouri,MO,Claire McCaskill,@clairecmc,@McCaskillOffice,@McCaskill2012,
51,Missouri,MO,Roy Blunt,@RoyBlunt,@RoyBluntPress,@RoyBluntMO,
52,Montana,MT,Steve Daines,@SteveDaines,,@DainesforMT,
53,Montana,MT,Jon Tester,,@SenatorTester,@jontester,
54,Nebraska,NE,Deb Fischer,@SenatorFischer,,@DebFischer2012,
55,Nebraska,NE,Ben Sasse,,,@Sasse4Senate,
56,Nevada,NV,Catherine Cortez Masto,,@CatherineForNV,,
57,Nevada,NV,Dean Heller,@SenDeanHeller,,@DeanHeller,
58,New Hampshire,NH,Jeanne Shaheen,@SenatorShaheen,,@JeanneShaheen,
59,New Hampshire,NH,Maggie Hassan,@GovernorHassan,@AFJacobs,@Maggie_Hassan,maggiefornh
60,New Jersey,NJ,Cory Booker,@CoryBooker,@SenBookerOfc,@Booker4Senate,
61,New Jersey,NJ,Bob Menendez,@SenatorMenendez,,@Menendez4NJ,
62,New Mexico,NM,Martin Heinrich,@MartinHeinrich,,@Heinrich4NM,
63,New Mexico,NM,Tom Udall,@SenatorTomUdall,@TomUdallPress,@tomudall,
64,New York,NY,Chuck Schumer,@SenSchumer,,@chuckschumer,
65,New York,NY,Kirsten Gillibrand,@SenGillibrand,,,
66,North Carolina,NC,Richard Burr,@SenatorBurr,,@Burrforsenate,
67,North Carolina,NC,Thom Tillis,@ThomTillis,,,
68,North Dakota,ND,Heidi Heitkamp,@SenatorHeitkamp,,@Heidi4ND,
69,North Dakota,ND,John Hoeven,@SenJohnHoeven,,@hoeven4senate,
70,Ohio,OH,Sherrod Brown,@SenSherrodBrown,,@SherrodBrown,
71,Ohio,OH,Rob Portman,@robportman,@PortmanPress,@portman4senate,
72,Oklahoma,OK,Jim Inhofe,,@jiminhofe,@jiminhofe,
73,Oklahoma,OK,James Lankford,@SenatorLankford,,@jameslankford,
74,Oregon,OR,Ron Wyden,@RonWyden,@WydenPress,@WydenForOregon,
75,Oregon,OR,Jeff Merkley,@SenJeffMerkley,,@JeffMerkley,
76,Pennsylvania,PA,Bob Casey, Jr.,,@SenBobCasey,@Bob_Casey,
77,Pennsylvania,PA,Pat Toomey,@SenToomey,,@ToomeyForSenate,
78,Rhode Island,RI,Jack Reed,@SenJackReed,,,
79,Rhode Island,RI,Sheldon Whitehouse,@SenWhitehouse,,@SheldonforRI,
80,South Carolina,SC,Lindsey Graham,@GrahamBlog,,@LindseyGrahamSC,
81,South Carolina,SC,Tim Scott,@SenatorTimScott,,@votetimscott,
82,South Dakota,SD,Mike Rounds,,,@RoundsforSenate,
83,South Dakota,SD,John Thune,@SenJohnThune,,@johnthune,
84,Tennessee,TN,Lamar Alexander,,@SenAlexander,@LamarAlexander,
85,Tennessee,TN,Bob Corker,,@SenBobCorker,@CorkerforTN,
86,Texas,TX,John Cornyn,,@JohnCornyn,@TeamCornyn,
87,Texas,TX,Ted Cruz,@SenTedCruz,,@tedcruz,
88,Utah,UT,Orrin Hatch,,@SenOrrinHatch,@OrrinHatch,
89,Utah,UT,Mike Lee,@SenMikeLee,,@mikelee2010,
90,Vermont,VT,Patrick Leahy,@SenatorLeahy,,,
91,Vermont,VT,Bernie Sanders,@SenatorSanders,,@FriendsOfBernie,
92,Virginia,VA,Tim Kaine,@timkaine,@SenKaineOffice,,
93,Virginia,VA,Mark Warner,,@MarkWarner,@MarkWarnerVA,
94,Washington,WA,Patty Murray,,@PattyMurray,@MurrayCampaign,
95,Washington,WA,Maria Cantwell,,@SenatorCantwell,@MariaCantwell,
96,West Virginia,WV,Shelley Moore Capito,@SenCapito,,@CapitoforWV,
97,West Virginia,WV,Joe Manchin,@Sen_JoeManchin,,@JoeManchinWV,
98,Wisconsin,WI,Tammy Baldwin,@SenatorBaldwin,,@tammybaldwin,
99,Wisconsin,WI,Ron Johnson,@SenRonJohnson,,@Ron4Senate,
100,Wyoming,WY,Mike Enzi,@SenatorEnzi,,@EnziforWyo,
101,Wyoming,WY,John Barrasso,@SenJohnBarrasso,,@barrassoforwyo,